 id |           address            | admin_id |  telephone   | profit  
----+------------------------------+----------+--------------+---------
  1 | пр. Энгельса, д.35           |        1 | +79331856199 |   50888
  2 | ул. Свеаборгская, д.79       |       26 | +79693783457 |  808624
  3 | Верхний 4 пр-д(Парнас), д.37 |       40 | +79396673868 | -734668
  4 | ул. Черниговская, д.39       |       80 | +79074622094 |  821914
  5 | ул. Балканская, д.81         |       94 | +79122242705 | -386504
  6 | ул. Десятинная Большая, д.97 |      119 | +79398635985 |   23512
  7 | ул. Фучика, д.52             |      159 | +79820210643 |   76326
  8 | ул. Енотаевская, д.88        |      173 | +79652812059 |  449563
  9 | Карельский пер., д.18        |      198 | +79073295066 |  154884
 10 | Южное шоссе, д.2             |      212 | +79321070731 | -986911
 11 | ул. Толстого Льва, д.20      |      252 | +79400867370 |       0
 12 | ул. Невельская, д.56         |      277 | +79220991453 | -765006
 13 | ул. Зеленина Большая, д.63   |      317 | +79576181944 |       0
 14 | ул. Хрустальная, д.25        |      357 | +79062073517 |  956042
 15 | Театральная пл., д.54        |      382 |              |  865734
 16 | ул. Ржевская, д.81           |      396 | +79368243380 | -422654
 17 | ул. Безымянная, д.56         |      421 |              |       0
 18 | ул. Капитанская, д.61        |      435 | +79368548217 | -745470
 19 | ул. Рузовская, д.77          |      475 |              | -224957
 20 | ул. Ракитовская, д.21        |      489 | +79484825339 | -170952
(20 rows)

 bar_id | menu_item_id | price 
--------+--------------+-------
      1 |            1 |   413
      1 |            2 |   459
      1 |            3 |   296
      1 |            4 |   342
      1 |            5 |   244
      1 |            6 |   179
      1 |            7 |   249
      1 |            8 |   172
      1 |            9 |   595
      1 |           10 |   829
      1 |           11 |   205
      1 |           13 |   287
      1 |           14 |   197
      1 |           15 |   220
      1 |           16 |   174
      1 |           17 |   354
      1 |           18 |   382
      1 |           19 |   466
      1 |           20 |   481
      1 |           22 |   491
      1 |           23 |   319
      1 |           24 |   288
      1 |           25 |   340
      1 |           26 |   526
      1 |           27 |   296
      1 |           28 |   343
      1 |           30 |   274
      1 |           31 |   292
      1 |           32 |   553
      1 |           33 |   596
      1 |           34 |   533
      1 |           35 |   468
      1 |           36 |  1744
      1 |           37 |   201
      1 |           40 |   175
      1 |           41 |    84
      1 |           43 |   176
      1 |           44 |   145
      1 |           45 |   195
      1 |           46 |   574
      1 |           47 |   307
      1 |           48 |   269
      1 |           50 |   189
      1 |           51 |   383
      1 |           52 |   423
      1 |           53 |   377
      1 |           54 |  5399
      1 |           55 |   498
      1 |           58 |   332
      1 |           59 |   438
      1 |           60 |   224
      1 |           61 |   261
      1 |           62 |   332
      1 |           63 |   698
      1 |           64 |  1451
      1 |           65 |   243
      1 |           66 |   377
      1 |           69 |   309
      1 |           70 |   353
      1 |           71 |   259
      1 |           72 |   257
      1 |           73 |   207
      1 |           75 |   345
      1 |           76 |   520
